time,BBL,BBM,BBU,Histogram,Histogram_before,Histogram_after,BBU_before,BBU_after,BBM_before,BBM_after,BBL_before,BBL_after,Cluster
28/08/2012,5166.893989959188,5802.5,6438.106010040812,-90.74632071,-40.86362071,-42.92679373,6322.3098205940205,6353.189828950315,5975.214285714285,5625.571428571428,5628.118750834551,4897.953028192542,1
29/08/2012,5042.101702219873,5750.0,6457.898297780127,-92.86774185,-50.99995407,-31.13255292,6343.846248227829,6310.802894857966,5939.5,5584.642857142857,5535.153751772171,4858.48281942775,1
30/08/2012,4938.424904900707,5697.5,6456.575095099293,-87.8845218,-62.20663184,-19.89770202,6368.209615339263,6259.298487892901,5897.142857142857,5544.714285714285,5426.076098946452,4830.130083535669,1
31/08/2012,4896.8456764074745,5657.5,6418.1543235925255,-62.55475637,-70.80222013,-11.56276244,6393.779958883743,6202.55596379291,5852.071428571428,5504.357142857143,5310.3628982591135,4806.158321921377,1
04/09/2012,4889.89513599219,5629.0,6368.10486400781,-26.93377696,-74.87005832,-7.552874629,6411.3502754089195,6140.972865843682,5804.5,5462.071428571428,5197.6497245910805,4783.169991299175,1
05/09/2012,4869.799923791051,5591.5,6313.200076208949,-12.83362925,-71.06653101,-4.805810247,6413.753920148469,6074.538746076684,5758.357142857143,5419.428571428572,5102.960365565818,4764.318396780459,1
06/09/2012,4837.293309444745,5548.0,6258.706690555255,-10.37951796,-64.37249449,-1.889294272,6406.43396173561,6002.848271301431,5712.285714285715,5377.5,5018.137466835819,4752.151728698569,1
07/09/2012,4811.31054459175,5505.5,6199.68945540825,-7.033611946,-54.88575213,0.16433535363750348,6387.249336754969,5919.533923992158,5668.0,5334.785714285715,4948.750663245032,4750.037504579271,1
10/09/2012,4765.810240866326,5463.5,6161.189759133674,-10.30805618,-42.92679373,1.295591047704095,6353.189828950316,5832.86941384665,5625.571428571428,5292.142857142857,4897.953028192541,4751.416300439065,1
11/09/2012,4739.955753656147,5418.0,6096.044246343853,-9.240565485,-31.13255292,1.6952973326278555,6310.802894857966,5743.752762577284,5584.642857142857,5250.071428571428,4858.482819427749,4756.390094565574,1
12/09/2012,4729.043345107426,5375.0,6020.956654892574,-4.210179317,-19.89770202,1.5204973397165216,6259.298487892903,5661.804648142328,5544.714285714285,5210.357142857143,4830.130083535669,4758.909637571958,1
13/09/2012,4728.976821636781,5333.0,5937.023178363219,1.1354377371624196,-11.56276244,0.7178014518595067,6202.55596379291,5586.171851157598,5504.357142857143,5172.357142857143,4806.158321921376,4758.542434556687,1
14/09/2012,4737.838762160032,5293.0,5848.161237839968,6.395821432717469,-7.552874629,-0.438004788,6140.9728658436825,5523.142154753091,5462.071428571428,5137.714285714285,4783.169991299174,4752.286416675482,1
17/09/2012,4752.126632871522,5254.5,5756.873367128478,10.036093857336425,-4.805810247,-1.024201453,6074.538746076685,5473.340468871569,5419.428571428572,5107.571428571428,4764.318396780458,4741.802388271289,1
18/09/2012,4796.510975756661,5206.5,5616.489024243339,7.341795434933545,-1.889294272,0.8765519864458489,6002.84827130143,5443.5025035306,5377.5,5084.142857142857,4752.15172869857,4724.783210755115,1
19/09/2012,4775.461811884887,5165.0,5554.538188115113,-2.389266326,0.16433535363750348,5.51079237166951,5919.533923992158,5422.38657292806,5334.785714285715,5066.428571428572,4750.037504579271,4710.4705699290835,1
20/09/2012,4774.7723125417115,5123.5,5472.2276874582885,-6.442621491,1.295591047704095,10.326481392493122,5832.869413846648,5409.052213133809,5292.142857142857,5051.642857142857,4751.416300439066,4694.233501151904,1
21/09/2012,4746.680146152111,5097.0,5447.319853847889,-5.433779268,1.6952973326278555,14.797580204584145,5743.752762577283,5384.83531506124,5250.071428571428,5036.0,4756.390094565575,4687.16468493876,1
24/09/2012,4726.406400529889,5067.0,5407.593599470111,-4.483433478,1.5204973397165216,19.058091756768174,5661.804648142328,5357.530500537738,5210.357142857143,5021.285714285715,4758.909637571958,4685.040928033691,1
25/09/2012,4694.0466369915885,5050.5,5406.9533630084115,-1.694822249,0.7178014518595067,22.8286629011314,5586.171851157598,5325.726702813068,5172.357142857143,5006.5,4758.542434556687,4687.273297186932,1
26/09/2012,4678.738434042172,5043.5,5408.261565957828,5.932717205844483,-0.438004788,25.49544963211063,5523.142154753091,5288.635923435148,5137.714285714285,4990.357142857143,4752.286416675481,4692.078362279138,1
27/09/2012,4677.37673314344,5042.5,5407.62326685656,20.6470695107395,-1.024201453,26.17848192861649,5473.340468871569,5249.559177917568,5107.571428571428,4972.928571428572,4741.802388271288,4696.297964939574,1
28/09/2012,4675.273326102666,5041.0,5406.726673897334,30.05041637086066,0.8765519864458489,25.978504095826697,5443.502503530601,5208.029596918082,5084.142857142857,4954.5,4724.783210755114,4700.970403081918,1
01/10/2012,4661.112831101464,5020.0,5378.887168898536,27.267201654990345,5.51079237166951,26.908539255634064,5422.38657292806,5167.069609751443,5066.428571428572,4938.0,4710.4705699290835,4708.930390248557,1
02/10/2012,4697.198432660092,4987.5,5277.801567339908,25.863912416982856,10.326481392493122,28.2544245009868,5409.052213133809,5136.472045091182,5051.642857142857,4924.928571428572,4694.233501151904,4713.385097765961,1
03/10/2012,4711.5401021944135,4964.0,5216.4598978055865,25.340147387451537,14.797580204584145,29.361333081680613,5384.835315061241,5109.48531784502,5036.0,4913.714285714285,4687.164684938759,4717.943253583551,1
04/10/2012,4709.673221064273,4947.0,5184.326778935727,24.699175761050412,19.058091756768174,30.01117314221752,5357.530500537738,5081.599417582528,5021.285714285715,4903.357142857143,4685.040928033691,4725.114868131757,1
05/10/2012,4712.373889687623,4930.5,5148.626110312377,24.60022432269912,22.8286629011314,30.54556855870259,5325.726702813068,5056.9412398587065,5006.5,4894.714285714285,4687.273297186932,4732.487331569865,1
08/10/2012,4706.91395176649,4920.5,5134.08604823351,25.428295586280484,25.49544963211063,30.818803997405016,5288.635923435147,5034.437054072209,4990.357142857143,4887.928571428572,4692.07836227914,4741.420088784934,1
09/10/2012,4707.9803930990765,4912.0,5116.0196069009235,28.650571541332113,26.17848192861649,29.932102768351832,5249.559177917568,5014.513788476083,4972.928571428572,4882.357142857143,4696.297964939574,4750.200497238203,1
10/10/2012,4716.8327412679355,4904.5,5092.1672587320645,33.77744777364194,25.978504095826697,27.749628187428748,5208.029596918082,4998.169768265206,4954.5,4877.642857142857,4700.970403081918,4757.115946020509,1
11/10/2012,4728.381385281922,4896.0,5063.618614718078,35.285109134452,26.908539255634064,24.897317972111445,5167.069609751443,4986.009800048772,4938.0,4874.071428571428,4708.930390248557,4762.1330570940845,1
12/10/2012,4743.447192917536,4885.5,5027.552807082464,33.08850745230822,28.2544245009868,22.082616913539034,5136.47204509118,4979.104431083403,4924.928571428572,4871.928571428572,4713.385097765962,4764.75271177374,1
15/10/2012,4759.874522901722,4874.5,4989.125477098278,29.24805618480876,29.361333081680613,19.662213349071262,5109.48531784502,4977.797630632223,4913.714285714285,4870.857142857143,4717.943253583551,4763.916655082062,1
16/10/2012,4763.981133754375,4870.0,4976.018866245625,28.340992238094614,30.01117314221752,17.29751093448945,5081.599417582528,4974.882127494993,4903.357142857143,4869.0,4725.114868131757,4763.117872505007,1
17/10/2012,4769.443252271965,4873.0,4976.556747728035,27.340943657197485,30.54556855870259,14.961089912089003,5056.9412398587065,4968.053411211548,4894.714285714285,4865.285714285715,4732.487331569865,4762.51801735988,1
18/10/2012,4769.443252271965,4873.0,4976.556747728035,22.44366293795983,30.818803997405016,13.095447183598667,5034.437054072209,4961.5939117220405,4887.928571428572,4861.0,4741.420088784934,4760.4060882779595,1
19/10/2012,4765.240882744078,4871.5,4977.759117255922,18.500125707180345,29.932102768351836,11.319327797323524,5014.5137884760825,4955.916159313114,4882.357142857143,4856.071428571428,4750.200497238204,4756.226697829743,1
22/10/2012,4763.501162796951,4871.0,4978.498837203049,15.318937627230838,27.74962818742875,9.57545989183753,4998.169768265206,4951.115075845649,4877.642857142857,4850.214285714285,4757.115946020509,4749.313495582923,1
23/10/2012,4761.784775675125,4870.5,4979.215224324875,13.385600042301377,24.89731797211144,7.92139861689592,4986.009800048772,4946.878545193001,4874.071428571428,4843.5,4762.1330570940845,4740.121454806999,1
24/10/2012,4754.0221260599765,4867.0,4979.9778739400235,12.305231233534357,22.082616913539034,4.3865825478950615,4979.104431083403,4949.450158278181,4871.928571428572,4834.785714285715,4764.75271177374,4720.121270293247,1
25/10/2012,4758.389655714992,4857.0,4955.610344285008,11.788075336021905,19.662213349071262,-0.425255473,4977.797630632223,4959.959349002452,4870.857142857143,4824.714285714285,4763.916655082062,4689.469222426119,1
26/10/2012,4765.2442662560725,4847.0,4928.7557337439275,10.985996500394364,17.29751093448945,-6.148964734,4974.882127494992,4977.314416062895,4869.0,4812.642857142857,4763.117872505008,4647.971298222818,1
29/10/2012,4754.659748698524,4843.0,4931.340251301476,9.384163838527485,14.961089912089003,-11.30964337,4968.053411211548,4992.846447156685,4865.285714285715,4797.857142857143,4762.51801735988,4602.8678385576,1
30/10/2012,4735.985149606565,4837.0,4938.014850393435,6.067290003254342,13.095447183598667,-15.45644469,4961.5939117220405,5005.458046985843,4861.0,4780.785714285715,4760.4060882779595,4556.113381585586,1
31/10/2012,4715.108747069205,4830.0,4944.891252930795,3.1118622888288883,11.319327797323524,-18.53282062,4955.916159313114,5015.2364607732625,4856.071428571428,4761.857142857143,4756.226697829743,4508.477824941023,1
01/11/2012,4697.440490243663,4823.5,4949.559509756337,1.807171117710098,9.57545989183753,-19.54958072,4951.115075845649,5021.789939938493,4850.214285714285,4742.142857142857,4749.313495582923,4462.4957743472205,1
02/11/2012,4614.020834463715,4806.0,4997.979165536285,-12.43848125,7.92139861689592,-17.2630259,4946.878545193001,5017.809364422422,4843.5,4722.928571428572,4740.121454806999,4428.047778434721,1
